Date, Close/Last, Volume, Open, High, Low
07/10/2020,  55.88, 59839690,  57.54,  58.15,  55.51
07/09/2020,  57.255, 87216260,  53.52,  57.58,  53.31
07/08/2020,  53.43, 35608340,  53.01,  53.47,  52.07
07/07/2020,  52.93, 32153090,  53.28,  54.17,  52.86
07/06/2020,  53.4, 36769430,  52.9,  53.52,  52.33
07/02/2020,  52.34, 29081430,  53.0335,  53.19,  52.0508
07/01/2020,  52.58, 32370950,  52.63,  52.87,  51.6
06/30/2020,  52.61, 42275740,  51.16,  52.77,  50.82
06/29/2020,  50.28, 49905810,  50.15,  50.28,  48.42
06/26/2020,  50.1, 65485730,  51.85,  51.95,  49.45
06/25/2020,  51.93, 51129610,  52.56,  52.7,  50.54
06/24/2020,  52.39, 53535550,  53.94,  54.74,  51.92
06/23/2020,  53.99, 48089010,  55.05,  55.37,  53.87
06/22/2020,  54.76, 44704780,  54.67,  55.17,  53.74
06/19/2020,  54.23, 52801460,  54.41,  55.455,  53.815
06/18/2020,  54.04, 40354720,  54.62,  55.1225,  53.65
06/17/2020,  54.55, 45146550,  54.79,  55.82,  54.3
06/16/2020,  54.46, 50949750,  55.72,  56.07,  53.59
06/15/2020,  54.68, 56740680,  52.58,  54.73,  52.4128
